adm_location,indicator,value,survey_name,ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank,indicator_name
east,Number of live births (or stillbirths) in the last two (or three/five) years,1932,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of live births (or stillbirths) in the last two (or three/five) years,837,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),491,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),772,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),304,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),1271,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2020,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),829,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),1494,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2352,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),985,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),944,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),1493,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),607,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),1297,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2012,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),871,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with symptoms of ARI,20.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with symptoms of ARI,17.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with symptoms of ARI,19.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with symptoms of ARI,17.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with symptoms of ARI,17.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with symptoms of ARI,15.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with symptoms of ARI,17,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with symptoms of ARI,14.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with symptoms of ARI,23,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with symptoms of ARI,20.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children born in the last five (or three) years,390,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children born in the last five (or three) years,599,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children born in the last five (or three) years,1215,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children born in the last five (or three) years,1909,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children born in the last five (or three) years,1356,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children born in the last five (or three) years,2075,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children born in the last five (or three) years,1013,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children born in the last five (or three) years,1571,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children born in the last five (or three) years,1104,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children born in the last five (or three) years,1644,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children born in the last five (or three) years (unweighted),463,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children born in the last five (or three) years (unweighted),711,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children born in the last five (or three) years (unweighted),1171,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children born in the last five (or three) years (unweighted),1821,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children born in the last five (or three) years (unweighted),1388,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children born in the last five (or three) years (unweighted),2133,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children born in the last five (or three) years (unweighted),877,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children born in the last five (or three) years (unweighted),1366,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children born in the last five (or three) years (unweighted),1151,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children born in the last five (or three) years (unweighted),1721,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with ARI for whom advice or treatment was sought,77.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with ARI for whom advice or treatment was sought,70.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with ARI for whom advice or treatment was sought,63.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with ARI for whom advice or treatment was sought,61.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with ARI for whom advice or treatment was sought,46.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with ARI for whom advice or treatment was sought,44.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with ARI for whom advice or treatment was sought,55.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with ARI for whom advice or treatment was sought,50.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with ARI for whom advice or treatment was sought,66.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with ARI for whom advice or treatment was sought,65.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with symptoms of ARI born in the last five (or three) years,79,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with symptoms of ARI born in the last five (or three) years,104,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with symptoms of ARI born in the last five (or three) years,240,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with symptoms of ARI born in the last five (or three) years,338,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with symptoms of ARI born in the last five (or three) years,240,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with symptoms of ARI born in the last five (or three) years,321,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with symptoms of ARI born in the last five (or three) years,173,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with symptoms of ARI born in the last five (or three) years,234,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with symptoms of ARI born in the last five (or three) years,254,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with symptoms of ARI born in the last five (or three) years,335,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),88,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),115,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),234,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),334,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),241,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),321,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),158,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),212,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),271,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),349,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever for whom advice or treatment was sought,77.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Children with fever for whom advice or treatment was sought,75.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever for whom advice or treatment was sought,58.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Children with fever for whom advice or treatment was sought,56.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever for whom advice or treatment was sought,43.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Children with fever for whom advice or treatment was sought,41.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever for whom advice or treatment was sought,52.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Children with fever for whom advice or treatment was sought,48.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever for whom advice or treatment was sought,66.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Children with fever for whom advice or treatment was sought,66.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Child took antimalarial drugs for fever,20.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Child took antimalarial drugs for fever,20,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Child took antimalarial drugs for fever,22.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Child took antimalarial drugs for fever,20.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Child took antimalarial drugs for fever,8.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Child took antimalarial drugs for fever,8.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Child took antimalarial drugs for fever,10.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Child took antimalarial drugs for fever,9.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Child took antimalarial drugs for fever,20.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Child took antimalarial drugs for fever,19.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with fever in the last two weeks,112,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with fever in the last two weeks,151,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with fever in the last two weeks,396,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with fever in the last two weeks,563,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with fever in the last two weeks,360,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with fever in the last two weeks,490,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with fever in the last two weeks,272,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with fever in the last two weeks,360,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with fever in the last two weeks,373,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with fever in the last two weeks,482,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with fever in the last two weeks (unweighted),125,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Number of children with fever in the last two weeks (unweighted),172,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with fever in the last two weeks (unweighted),379,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Number of children with fever in the last two weeks (unweighted),537,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with fever in the last two weeks (unweighted),350,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Number of children with fever in the last two weeks (unweighted),476,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with fever in the last two weeks (unweighted),240,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Number of children with fever in the last two weeks (unweighted),314,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with fever in the last two weeks (unweighted),391,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Number of children with fever in the last two weeks (unweighted),502,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Advice or treatment was sought,32.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Advice or treatment was sought,31.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Advice or treatment was sought,22.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Advice or treatment was sought,21.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Advice or treatment was sought,26.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Advice or treatment was sought,25.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Advice or treatment was sought,25.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Advice or treatment was sought,27.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Advice or treatment was sought,25.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Advice or treatment was sought,26,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Oral rehydration solution (ORS),24.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Oral rehydration solution (ORS),20.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Oral rehydration solution (ORS),7.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Oral rehydration solution (ORS),6.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Oral rehydration solution (ORS),18.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Oral rehydration solution (ORS),17,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Oral rehydration solution (ORS),13.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Oral rehydration solution (ORS),14.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Oral rehydration solution (ORS),5.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Oral rehydration solution (ORS),5.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Recommended home fluids (RHF) at home,11.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Recommended home fluids (RHF) at home,11.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Recommended home fluids (RHF) at home,11.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Recommended home fluids (RHF) at home,11.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Recommended home fluids (RHF) at home,9.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Recommended home fluids (RHF) at home,7.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Recommended home fluids (RHF) at home,5.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Recommended home fluids (RHF) at home,4.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Recommended home fluids (RHF) at home,6.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Recommended home fluids (RHF) at home,8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Either ORS or RHF,34,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Either ORS or RHF,30.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Either ORS or RHF,18.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Either ORS or RHF,17.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Either ORS or RHF,24.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Either ORS or RHF,22.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Either ORS or RHF,17.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Either ORS or RHF,18.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Either ORS or RHF,10.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Either ORS or RHF,11.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Increased fluids,32.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Increased fluids,26.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Increased fluids,23.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Increased fluids,24.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Increased fluids,12.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Increased fluids,14.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Increased fluids,14.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Increased fluids,14.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Increased fluids,16.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Increased fluids,18.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: ORT or increased fluids,45.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: ORT or increased fluids,40.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: ORT or increased fluids,36.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: ORT or increased fluids,35.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: ORT or increased fluids,33.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: ORT or increased fluids,32.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: ORT or increased fluids,26.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: ORT or increased fluids,27.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: ORT or increased fluids,24.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: ORT or increased fluids,28,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,"Treatment of diarrhea: No ORS, RHF or increased fluids",54.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,"Treatment of diarrhea: No ORS, RHF or increased fluids",59.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,"Treatment of diarrhea: No ORS, RHF or increased fluids",63.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,"Treatment of diarrhea: No ORS, RHF or increased fluids",64.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,"Treatment of diarrhea: No ORS, RHF or increased fluids",66.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,"Treatment of diarrhea: No ORS, RHF or increased fluids",67.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,"Treatment of diarrhea: No ORS, RHF or increased fluids",73.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,"Treatment of diarrhea: No ORS, RHF or increased fluids",72.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,"Treatment of diarrhea: No ORS, RHF or increased fluids",75.1,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,"Treatment of diarrhea: No ORS, RHF or increased fluids",72,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Home remedy - other,51.6,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: Home remedy - other,50.4,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Home remedy - other,44,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: Home remedy - other,43,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Home remedy - other,45.8,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west,Treatment of diarrhea: Home remedy - other,44.9,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Home remedy - other,49.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north,Treatment of diarrhea: Home remedy - other,48.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Home remedy - other,63.3,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east,Treatment of diarrhea: Home remedy - other,64.7,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: No treatment,26.2,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kigali,Treatment of diarrhea: No treatment,28.5,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south,Treatment of diarrhea: No treatment,34,access-to-health-care_subnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
